FIPS,c,s,m15,mdf,mx14,mxdf,m
04021,Pinal County,Ariz.,0,0,9000,-2000,5500
04023,Santa Cruz County,Ariz.,0,0,10000,-1000,5500
04025,Yavapai County,Ariz.,0,0,8000,-3000,5500
04027,Yuma County,Ariz.,0,0,8000,-3000,5500
10001,Kent County,Del.,5500,-500,7500,0,6000
10003,New Castle County,Del.,5500,-500,7500,0,6000
10005,Sussex County,Del.,5500,-500,7500,0,6000
12001,Alachua County,Fla.,4000,-200,11500,0,10000
12003,Baker County,Fla.,4000,-200,11500,0,10000
12005,Bay County,Fla.,4000,-200,11500,0,10000
12007,Bradford County,Fla.,4000,-200,11500,0,10000
12009,Brevard County,Fla.,0,0,11500,0,6000
12011,Broward County,Fla.,0,0,11500,0,7200
12013,Calhoun County,Fla.,4000,-200,11500,0,7200
12015,Charlotte County,Fla.,4000,-200,11500,0,10000
12017,Citrus County,Fla.,4000,-200,11500,0,10000
12019,Clay County,Fla.,4000,-200,11500,0,10000
12021,Collier County,Fla.,4000,-200,11500,0,10000
12023,Columbia County,Fla.,4000,-200,11500,0,10000
12027,DeSoto County,Fla.,4000,-200,11500,0,10000
12029,Dixie County,Fla.,4000,-200,11500,0,10000
12031,Duval County,Fla.,4000,-200,11500,0,10000
12033,Escambia County,Fla.,4000,-200,11500,0,10000
12035,Flagler County,Fla.,0,0,11500,0,7200
12037,Franklin County,Fla.,4000,-200,11500,0,7200
12039,Gadsden County,Fla.,4000,-200,11500,0,7200
12041,Gilchrist County,Fla.,4000,-200,11500,0,10000
12043,Glades County,Fla.,4000,-200,11500,0,7200
12045,Gulf County,Fla.,4000,-200,11500,0,10000
12047,Hamilton County,Fla.,4000,-200,11500,0,7200
12049,Hardee County,Fla.,4000,-200,11500,0,7200
12051,Hendry County,Fla.,4000,-200,11500,0,10000
12053,Hernando County,Fla.,0,0,11500,0,10000
12055,Highlands County,Fla.,4000,-200,11500,0,10000
12057,Hillsborough County,Fla.,0,0,11500,0,9200
12059,Holmes County,Fla.,4000,-200,11500,0,7200
12061,Indian River County,Fla.,0,0,11500,0,6000
12063,Jackson County,Fla.,4000,-200,11500,0,7200
12065,Jefferson County,Fla.,4000,-200,11500,0,7200
12067,Lafayette County,Fla.,4000,-200,11500,0,7200
12069,Lake County,Fla.,0,0,11500,0,9200
12071,Lee County,Fla.,0,0,11500,0,7200
12073,Leon County,Fla.,4000,-200,11500,0,7200
12075,Levy County,Fla.,4000,-200,11500,0,10000
12077,Liberty County,Fla.,4000,-200,11500,0,7200
12079,Madison County,Fla.,4000,-200,11500,0,7200
12081,Manatee County,Fla.,0,0,11500,0,7200
12083,Marion County,Fla.,4000,-200,11500,0,10000
12085,Martin County,Fla.,0,0,11500,0,10000
12086,Miami-Dade County,Fla.,0,0,11500,0,7500
12087,Monroe County,Fla.,0,0,11500,0,6800
12089,Nassau County,Fla.,4000,-200,11500,0,10000
12091,Okaloosa County,Fla.,4000,-200,11500,0,10000
12093,Okeechobee County,Fla.,4000,-200,11500,0,10000
12095,Orange County,Fla.,0,0,11500,0,9200
12097,Osceola County,Fla.,0,0,11500,0,9200
12099,Palm Beach County,Fla.,0,0,11500,0,7200
12101,Pasco County,Fla.,0,0,11500,0,9200
12103,Pinellas County,Fla.,0,0,11500,0,9200
12105,Polk County,Fla.,0,0,11500,0,9200
12107,Putnam County,Fla.,4000,-200,11500,0,7200
12109,St. Johns County,Fla.,4000,-200,11500,0,10000
12111,St. Lucie County,Fla.,0,0,11500,0,7200
12113,Santa Rosa County,Fla.,4000,-200,11500,0,10000
12115,Sarasota County,Fla.,0,0,11500,0,8000
12117,Seminole County,Fla.,0,0,11500,0,9200
12119,Sumter County,Fla.,0,0,11500,0,10000
12121,Suwannee County,Fla.,4000,-200,11500,0,10000
12123,Taylor County,Fla.,4000,-200,11500,0,7200
12125,Union County,Fla.,4000,-200,11500,0,7200
12127,Volusia County,Fla.,0,0,11500,0,7500
12129,Wakulla County,Fla.,4000,-200,11500,0,7200
12131,Walton County,Fla.,4000,-200,11500,0,10000
12133,Washington County,Fla.,4000,-200,11500,0,7200
13001,Appling County,Ga.,4000,0,10000,3000,6000
