FIPS,c,s,sf
13195,Madison County,Ga.,6670
13197,Marion County,Ga.,6659
13189,McDuffie County,Ga.,6258
13191,McIntosh County,Ga.,6258
13199,Meriwether County,Ga.,5579
13201,Miller County,Ga.,6055
13205,Mitchell County,Ga.,6055
13207,Monroe County,Ga.,6293
13209,Montgomery County,Ga.,6055
13211,Morgan County,Ga.,6258
13213,Murray County,Ga.,5509
13215,Muscogee County,Ga.,6743
13217,Newton County,Ga.,5859
13219,Oconee County,Ga.,6670
13221,Oglethorpe County,Ga.,6258
13223,Paulding County,Ga.,5450
13225,Peach County,Ga.,6487
13227,Pickens County,Ga.,5570
13229,Pierce County,Ga.,6055
13231,Pike County,Ga.,5579
13233,Polk County,Ga.,5639
13235,Pulaski County,Ga.,6055
13237,Putnam County,Ga.,6055
13239,Quitman County,Ga.,6055
13241,Rabun County,Ga.,5509
13243,Randolph County,Ga.,6055
13245,Richmond County,Ga.,6258
13247,Rockdale County,Ga.,5820
13249,Schley County,Ga.,6055
13251,Screven County,Ga.,6258
13253,Seminole County,Ga.,6055
13255,Spalding County,Ga.,6387
13257,Stephens County,Ga.,5509
13259,Stewart County,Ga.,6293
13261,Sumter County,Ga.,6123
13263,Talbot County,Ga.,6670
13265,Taliaferro County,Ga.,6258
13267,Tattnall County,Ga.,6258
13269,Taylor County,Ga.,6055
13271,Telfair County,Ga.,6055
13273,Terrell County,Ga.,6123
13275,Thomas County,Ga.,6055
13277,Tift County,Ga.,6055
13279,Toombs County,Ga.,6055
13281,Towns County,Ga.,5509
13283,Treutlen County,Ga.,6055
13285,Troup County,Ga.,6258
13287,Turner County,Ga.,6055
13289,Twiggs County,Ga.,6171
13291,Union County,Ga.,5509
13293,Upson County,Ga.,6055
13295,Walker County,Ga.,5509
13297,Walton County,Ga.,6315
13299,Ware County,Ga.,6055
13301,Warren County,Ga.,6258
13303,Washington County,Ga.,6258
13305,Wayne County,Ga.,6293
13307,Webster County,Ga.,6258
13309,Wheeler County,Ga.,6055
13311,White County,Ga.,5509
13313,Whitfield County,Ga.,5509
13315,Wilcox County,Ga.,6055
13317,Wilkes County,Ga.,6258
13319,Wilkinson County,Ga.,6258
13321,Worth County,Ga.,6123
19001,Adair County,Iowa,5922
19003,Adams County,Iowa,6160
19005,Allamakee County,Iowa,5880
19007,Appanoose County,Iowa,5922
19009,Audubon County,Iowa,5922
19011,Benton County,Iowa,6027
19013,Black Hawk County,Iowa,6027
19015,Boone County,Iowa,6027
19017,Bremer County,Iowa,6027
19019,Buchanan County,Iowa,6257
19021,Buena Vista County,Iowa,6160
19023,Butler County,Iowa,6160
19025,Calhoun County,Iowa,6160
19027,Carroll County,Iowa,5922
19029,Cass County,Iowa,6160
19031,Cedar County,Iowa,5922
