FIPS,c,s,bi,bf,si,sf,gi,gf,pi,pf
19121,Madison County,Iowa,5710,11420,3014,6027,1488,2975,,
19123,Mahaska County,Iowa,5631,11263,2961,5922,1500,3000,,
19125,Marion County,Iowa,5710,11420,3014,6027,1488,2975,,
19127,Marshall County,Iowa,5631,11263,2961,5922,1500,3000,,
19129,Mills County,Iowa,5631,11263,2961,5922,1500,3000,,
19131,Mitchell County,Iowa,5631,11263,2961,5922,1500,3000,,
19133,Monona County,Iowa,5867,11733,3129,6257,1475,2950,,
19135,Monroe County,Iowa,5631,11263,2961,5922,1500,3000,,
19137,Montgomery County,Iowa,5788,11575,3080,6160,1500,3000,,
19139,Muscatine County,Iowa,5710,11420,3014,6027,1488,2975,,
19141,O'Brien County,Iowa,5568,11136,2832,5665,1500,3000,250,500
19143,Osceola County,Iowa,5621,11243,2838,5677,1500,3000,250,500
19145,Page County,Iowa,5631,11263,2961,5922,1500,3000,,
19147,Palo Alto County,Iowa,5631,11263,2961,5922,1500,3000,,
19149,Plymouth County,Iowa,5711,11422,2893,5787,1483,2967,250,500
19151,Pocahontas County,Iowa,5788,11575,3080,6160,1500,3000,,
19153,Polk County,Iowa,5763,11525,3050,6100,1478,2956,,
19155,Pottawattamie County,Iowa,5828,11656,3097,6194,1464,2927,,
19157,Poweshiek County,Iowa,5631,11263,2961,5922,1500,3000,,
19159,Ringgold County,Iowa,5631,11263,2961,5922,1500,3000,,
19161,Sac County,Iowa,5788,11575,3080,6160,1500,3000,,
19163,Scott County,Iowa,5710,11420,3014,6027,1488,2975,,
19165,Shelby County,Iowa,5788,11575,3080,6160,1500,3000,,
19167,Sioux County,Iowa,5638,11277,2876,5753,1490,2980,250,500
19169,Story County,Iowa,5631,11263,2961,5922,1500,3000,,
19171,Tama County,Iowa,5788,11575,3080,6160,1500,3000,,
19173,Taylor County,Iowa,5788,11575,3080,6160,1500,3000,,
19175,Union County,Iowa,5788,11575,3080,6160,1500,3000,,
19177,Van Buren County,Iowa,5631,11263,2961,5922,1500,3000,,
19179,Wapello County,Iowa,5631,11263,2961,5922,1500,3000,,
19181,Warren County,Iowa,5763,11525,3050,6100,1478,2956,,
19183,Washington County,Iowa,5631,11263,2961,5922,1500,3000,,
19185,Wayne County,Iowa,5631,11263,2961,5922,1500,3000,,
19187,Webster County,Iowa,5788,11575,3080,6160,1500,3000,,
19189,Winnebago County,Iowa,5631,11263,2961,5922,1500,3000,,
19191,Winneshiek County,Iowa,4715,9430,2940,5880,1900,3800,750,1500
19193,Woodbury County,Iowa,5638,11277,2876,5753,1490,2980,250,500
19195,Worth County,Iowa,5631,11263,2961,5922,1500,3000,,
19197,Wright County,Iowa,5631,11263,2961,5922,1500,3000,,
17001,Adams County,Ill.,4664,10300,4033,8573,1640,3697,,
17003,Alexander County,Ill.,4525,10183,4231,9046,1757,3961,,
17005,Bond County,Ill.,4600,10246,4232,9007,1673,3763,,
17007,Boone County,Ill.,5000,10715,4043,8600,1632,3697,500,1000
17009,Brown County,Ill.,4664,10300,4033,8573,1640,3697,,
17011,Bureau County,Ill.,4664,10543,4267,9287,1834,4356,,
17013,Calhoun County,Ill.,4600,10246,4232,9007,1673,3763,,
17015,Carroll County,Ill.,4720,10347,4047,8569,1569,3528,,
17017,Cass County,Ill.,4664,10300,4033,8573,1640,3697,,
17019,Champaign County,Ill.,4525,10183,4231,9046,1757,3961,,
17021,Christian County,Ill.,4664,10300,4033,8573,1640,3697,,
17023,Clark County,Ill.,4525,10183,4231,9046,1757,3961,,
17025,Clay County,Ill.,4525,10183,4231,9046,1757,3961,,
17027,Clinton County,Ill.,4600,10246,4232,9007,1673,3763,,
17029,Coles County,Ill.,4525,10183,4231,9046,1757,3961,,
17031,Cook County,Ill.,5372,11006,3578,7425,1040,2462,150,300
17033,Crawford County,Ill.,4525,10183,4231,9046,1757,3961,,
17035,Cumberland County,Ill.,4525,10183,4231,9046,1757,3961,,
17037,DeKalb County,Ill.,4800,10494,4103,8812,1594,3674,,
17039,De Witt County,Ill.,4730,10367,4197,8869,1725,3841,,
17041,Douglas County,Ill.,4525,10183,4231,9046,1757,3961,,
17043,DuPage County,Ill.,5331,11527,3750,8324,1153,3119,50,100
17045,Edgar County,Ill.,4525,10183,4231,9046,1757,3961,,
17047,Edwards County,Ill.,4525,10183,4231,9046,1757,3961,,
17049,Effingham County,Ill.,4525,10183,4231,9046,1757,3961,,
17051,Fayette County,Ill.,4525,10183,4231,9046,1757,3961,,
17053,Ford County,Ill.,4525,10183,4231,9046,1757,3961,,
17055,Franklin County,Ill.,4525,10183,4231,9046,1757,3961,,
17057,Fulton County,Ill.,4947,10611,3958,8295,1611,3569,,
17059,Gallatin County,Ill.,4525,10183,4231,9046,1757,3961,,
17061,Greene County,Ill.,4600,10246,4232,9007,1673,3763,,
17063,Grundy County,Ill.,4878,10739,4145,9026,1676,4037,,
17065,Hamilton County,Ill.,4525,10183,4231,9046,1757,3961,,
17067,Hancock County,Ill.,4664,10543,4267,9287,1834,4356,,
17069,Hardin County,Ill.,4525,10183,4231,9046,1757,3961,,
17071,Henderson County,Ill.,4664,10543,4267,9287,1834,4356,,
17073,Henry County,Ill.,4834,10731,4147,8959,1809,4265,,
17075,Iroquois County,Ill.,4525,10183,4231,9046,1757,3961,,
17077,Jackson County,Ill.,4525,10183,4231,9046,1757,3961,,
17079,Jasper County,Ill.,4525,10183,4231,9046,1757,3961,,
17081,Jefferson County,Ill.,4525,10183,4231,9046,1757,3961,,
17083,Jersey County,Ill.,4600,10246,4232,9007,1673,3763,,
17085,Jo Daviess County,Ill.,4720,10347,4047,8569,1569,3528,,
17087,Johnson County,Ill.,4525,10183,4231,9046,1757,3961,,
17089,Kane County,Ill.,5331,11527,3750,8324,1153,3119,50,100
17091,Kankakee County,Ill.,4878,10739,4145,9026,1676,4037,,
17093,Kendall County,Ill.,4878,10739,4145,9026,1676,4037,,
17095,Knox County,Ill.,4900,10516,4066,8532,1672,3692,500,1000
17097,Lake County,Ill.,4821,10441,4036,8494,1624,3615,,
17099,LaSalle County,Ill.,5413,11528,3903,8583,1483,3833,417,833
17101,Lawrence County,Ill.,4525,10183,4231,9046,1757,3961,,
